iteration: max(£G,|v-V(s)|)
1: 10.000000
2: 7.000000
3: 4.900000
4: 3.430000
5: 2.401000
6: 1.680700
7: 1.176490
8: 0.823543
9: 0.576480
10: 0.403536
11: 0.282475
12: 0.197733
13: 0.138413
14: 0.096889
15: 0.067822
16: 0.047476
17: 0.033233
18: 0.023263
19: 0.016284
20: 0.011399
21: 0.007979
22: 0.005585
23: 0.003910
24: 0.002737
25: 0.001916
26: 0.001341
27: 0.000939
